Position,Count,Quality_Count,Avg_Value,Top3_Avg,Expected,Threshold,Strength,Level_Breakdown
1B,2,0,33.70,33.70,15,54.0,8.2,R:2
2B,19,0,41.44,49.40,15,52.0,33.8,A:7; AAA:1; ML:3; R:6; Unassigned:2
3B,22,3,45.15,55.25,15,53.0,42.6,A:1; AA:5; AAA:1; ML:3; R:10; Unassigned:2
C,19,2,45.49,52.68,18,52.0,32.3,A:3; AA:2; AAA:1; ML:1; R:11; Unassigned:1
CF,32,16,52.57,61.95,15,53.0,71.7,A:10; AA:3; AAA:4; ML:7; R:5; Unassigned:3
DH,15,1,35.93,53.20,10,55.0,40.6,A:7; AAA:1; ML:4; R:2; Unassigned:1
LF,15,0,31.25,38.13,15,54.0,26.3,A:3; AAA:2; R:6; Unassigned:4
RF,22,1,33.62,46.50,15,54.0,38.3,A:7; AA:1; ML:1; R:12; Unassigned:1
SP,84,1,31.07,53.04,40,54.0,49.2,A:24; AA:11; AAA:8; ML:7; R:21; Unassigned:13
SS,7,5,53.03,55.01,15,52.0,25.4,A:4; AA:2; AAA:1
